X,Y,probability
603500,4413000,0
603500,4413500,0
603500,4414000,0
603500,4414500,0
603500,4415000,0
603500,4415500,0
603500,4416000,0
603500,4416500,0
603500,4417000,0
603500,4417500,0
603500,4418000,0
603500,4418500,0
603500,4419000,0
603500,4419500,0
603500,4420000,0
603500,4420500,0
603500,4421000,0
603500,4421500,0
603500,4422000,0
603500,4422500,0
603500,4423000,0.9
603500,4423500,0.9
603500,4424000,0.9
603500,4424500,0.9
603500,4425000,0.9
603500,4425500,0.9
603500,4426000,0.9
603500,4426500,0.9
603500,4427000,0.9
603500,4427500,0.9
603500,4428000,0.9
603500,4428500,0.9
603500,4429000,0.9
603500,4429500,0.9
603500,4430000,0.9
603500,4430500,0.9
603500,4431000,0.9
603500,4431500,0
603500,4432000,0
603500,4432500,0
603500,4433000,0
603500,4433500,0
603500,4434000,0
603500,4434500,0
603500,4435000,0
603500,4435500,0
603500,4436000,0
603500,4436500,0
603500,4437000,0
603500,4437500,0
603500,4438000,0
603500,4438500,0
603500,4439000,0
603500,4439500,0
603500,4440000,0
603500,4440500,0
603500,4441000,0
603500,4441500,0
604000,4413000,0
604000,4413500,0
604000,4414000,0
604000,4414500,0
604000,4415000,0
604000,4415500,0
604000,4416000,0
604000,4416500,0
604000,4417000,0
604000,4417500,0
604000,4418000,0
604000,4418500,0
604000,4419000,0
604000,4419500,0
604000,4420000,0
604000,4420500,0
604000,4421000,0
604000,4421500,0.9
604000,4422000,0.9
604000,4422500,0.9
604000,4423000,0.9
604000,4423500,0.9
604000,4424000,0.9
604000,4424500,0.9
604000,4425000,0.9
604000,4425500,0.9
604000,4426000,0.9
604000,4426500,0.9
604000,4427000,0.9
604000,4427500,0.9
604000,4428000,0.9
604000,4428500,0.9
604000,4429000,0.9
604000,4429500,0.9
604000,4430000,0.9
604000,4430500,0.9
604000,4431000,0.9
604000,4431500,0.9
604000,4432000,0.9
604000,4432500,0.9
604000,4433000,0
604000,4433500,0
604000,4434000,0
604000,4434500,0
604000,4435000,0
604000,4435500,0
604000,4436000,0
604000,4436500,0
604000,4437000,0
604000,4437500,0
604000,4438000,0
604000,4438500,0
604000,4439000,0
604000,4439500,0
604000,4440000,0
604000,4440500,0
604000,4441000,0
604000,4441500,0
604000,4442000,0
604500,4413000,0
604500,4413500,0
604500,4414000,0
604500,4414500,0
604500,4415000,0
604500,4415500,0
604500,4416000,0
604500,4416500,0
604500,4417000,0
604500,4417500,0
604500,4418000,0
604500,4418500,0
604500,4419000,0
604500,4419500,0
604500,4420000,0.9
604500,4420500,0.9
604500,4421000,0.9
604500,4421500,0.9
604500,4422000,0.9
604500,4422500,0.9
604500,4423000,0.9
604500,4423500,0.9
604500,4424000,0.9
604500,4424500,0.9
604500,4425000,0.9
604500,4425500,0.9
604500,4426000,0.9
604500,4426500,0.9
604500,4427000,0.9
604500,4427500,0.9
604500,4428000,0.9
604500,4428500,0.9
604500,4429000,0.9
604500,4429500,0.9
604500,4430000,0.9
604500,4430500,0.9
604500,4431000,0.9
604500,4431500,0.9
604500,4432000,0.9
604500,4432500,0.9
604500,4433000,0.9
604500,4433500,0.9
604500,4434000,0
604500,4434500,0
604500,4435000,0
604500,4435500,0
604500,4436000,0
604500,4436500,0
604500,4437000,0
